"Intermediary Value","nanoTime"
"66","9320876224600"
"33","9320876239200"
"100","9320876245700"
"50","9320876250500"
"25","9320876252800"
"76","9320876254800"
"38","9320876258600"
"19","9320876260700"
"58","9320876262700"
"29","9320876266400"
"88","9320876268500"
"44","9320876270500"
"22","9320876274900"
"11","9320876277200"
"34","9320876279100"
"17","9320876282800"
"52","9320876285000"
"26","9320876287000"
"13","9320876291100"
"40","9320876293200"
"20","9320876295200"
"10","9320876302500"
"5","9320876304700"
"16","9320876306800"
"8","9320876310600"
"4","9320876312700"
"2","9320876314700"
"1","9320876318500"
