Intermediary Value,nanoTime
113383,283087218082200
340150,283087218125000
170075,283087218301100
510226,283087218359600
255113,283087218406400
765340,283087218469200
382670,283087218519400
191335,283087218564500
574006,283087218615500
287003,283087218709700
861010,283087218771400
430505,283087218819300
1291516,283087218867000
645758,283087218926700
322879,283087218970400
968638,283087219016500
484319,283087219062600
1452958,283087219104500
726479,283087219161700
2179438,283087219210300
1089719,283087219253500
3269158,283087219300800
1634579,283087219342400
4903738,283087219385800
2451869,283087219431100
7355608,283087219481300
3677804,283087219532900
1838902,283087219583900
919451,283087219625900
2758354,283087219877400
1379177,283087219925700
4137532,283087219971700
2068766,283087220029700
1034383,283087220071800
3103150,283087220134400
1551575,283087220181000
4654726,283087220224700
2327363,283087220274300
6982090,283087220316500
3491045,283087220359300
10473136,283087220406300
5236568,283087220448700
2618284,283087220509200
1309142,283087220559800
654571,283087220600600
1963714,283087220643900
981857,283087220686300
2945572,283087220727900
1472786,283087220769700
736393,283087220809200
2209180,283087220851800
1104590,283087220893100
552295,283087220932000
1656886,283087220974800
828443,283087221013400
2485330,283087221252000
1242665,283087221350400
3727996,283087221434900
1863998,283087221590300
931999,283087221654300
2795998,283087221692900
1397999,283087221744900
4193998,283087221786800
2096999,283087221831300
6290998,283087221878200
3145499,283087221917900
9436498,283087221959300
4718249,283087221994200
14154748,283087222029000
7077374,283087222086600
3538687,283087222123000
10616062,283087222176700
5308031,283087222213300
15924094,283087222255600
7962047,283087222301500
23886142,283087222336300
11943071,283087222370600
35829214,283087222414000
17914607,283087222451400
53743822,283087222491400
26871911,283087222527500
80615734,283087222569900
40307867,283087222609900
120923602,283087222669800
60461801,283087222708000
181385404,283087222751100
90692702,283087222793600
45346351,283087222841100
136039054,283087222875600
68019527,283087222909000
204058582,283087222948100
102029291,283087222982200
306087874,283087223044200
153043937,283087223081200
459131812,283087223115400
229565906,283087223152200
114782953,283087223185800
344348860,283087223218300
172174430,283087223254400
86087215,283087223287800
258261646,283087223326100
129130823,283087223360600
387392470,283087223392200
193696235,283087223435800
581088706,283087223469300
290544353,283087223505000
871633060,283087223545300
435816530,283087223582400
217908265,283087223617800
653724796,283087223665200
326862398,283087223706500
163431199,283087223746000
490293598,283087223777100
245146799,283087223813900
735440398,283087223845800
367720199,283087223877600
1103160598,283087223912300
551580299,283087223956000
1654740898,283087223996500
827370449,283087224048700
2482111348,283087224083000
1241055674,283087224124800
620527837,283087224159900
1861583512,283087224192100
930791756,283087224288000
465395878,283087224360300
232697939,283087224406300
698093818,283087224447300
349046909,283087224485900
1047140728,283087224534300
523570364,283087224564700
261785182,283087224608400
130892591,283087224641400
392677774,283087224670300
196338887,283087224702100
589016662,283087224730300
294508331,283087224758700
883524994,283087224789700
441762497,283087224817700
1325287492,283087224849800
662643746,283087224878500
331321873,283087224908100
993965620,283087224941200
496982810,283087224973700
248491405,283087225016000
745474216,283087225050800
372737108,283087225079600
186368554,283087225257100
93184277,283087225291100
279552832,283087225321200
139776416,283087225355300
69888208,283087225388500
34944104,283087225420600
17472052,283087225450300
8736026,283087225484200
4368013,283087225520200
13104040,283087225549900
6552020,283087225578300
3276010,283087225608600
1638005,283087225646200
4914016,283087225678000
2457008,283087225705400
1228504,283087225732800
614252,283087225763500
307126,283087225792600
153563,283087225819700
460690,283087225853000
230345,283087225881600
691036,283087225911500
345518,283087225941900
172759,283087225976300
518278,283087226012000
259139,283087226039900
777418,283087226066800
388709,283087226097500
1166128,283087226138400
583064,283087226170800
291532,283087226198100
145766,283087226225300
72883,283087226255900
218650,283087226282600
109325,283087226309100
327976,283087226342300
163988,283087226368900
81994,283087226401500
40997,283087226428800
122992,283087226455700
61496,283087226488500
30748,283087226515100
15374,283087226550100
7687,283087226585700
23062,283087226615500
11531,283087226783700
34594,283087226833300
17297,283087226870500
51892,283087226906800
25946,283087226937100
12973,283087226984500
38920,283087227017300
19460,283087227046200
9730,283087227080800
4865,283087227107800
14596,283087227134400
7298,283087227166900
3649,283087227193300
10948,283087227219700
5474,283087227262600
2737,283087227292500
8212,283087227322300
4106,283087227348800
2053,283087227396000
6160,283087227430800
3080,283087227457400
1540,283087227483600
770,283087227515100
385,283087227544300
1156,283087227573400
578,283087227602300
289,283087227651300
868,283087227680100
434,283087227702900
217,283087227724200
652,283087227748200
326,283087227771200
163,283087227795700
490,283087227817100
245,283087227838500
736,283087227862200
368,283087227883600
184,283087227909200
92,283087227949700
46,283087227973400
23,283087227997500
70,283087228019000
35,283087228042600
106,283087228067000
53,283087228088100
160,283087228108300
80,283087228132000
40,283087228152300
20,283087228175200
10,283087228195100
5,283087228215000
16,283087228239000
8,283087228280500
4,283087228306000
2,283087228330000
1,283087228350400
